Id|Name|Display|View|Rank|SubscriberSystemId|Voided
26e50b9a-9d69-11e7-abc4-cec278b6b50a|Booked Family|Family Members Booked for Testing|vBookedFamilyContacts|1|16e23866-9d69-11e7-abc4-cec278b6b50a|0
26e52b9a-9d69-11e7-abc4-cec278b6b50a|Booked Partner|Partner Contacts Booked for Testing|vBookedPartnerContacts|2|16e23866-9d69-11e7-abc4-cec278b6b50a|0
26e51b9a-9d69-11e7-abc4-cec278b6b50a|NotLinked|Clients Referred and Not linked|vReferredContacts|3|16e23866-9d69-11e7-abc4-cec278b6b50a|0
